,date,goalConversionRateAll,end date
0,20211101,0.0,2021-12-30
1,20211102,0.0,2021-12-30
2,20211103,0.0,2021-12-30
3,20211104,0.0,2021-12-30
4,20211105,0.0,2021-12-30
5,20211106,0.0,2021-12-30
6,20211107,0.0,2021-12-30
7,20211108,0.0,2021-12-30
8,20211109,0.0,2021-12-30
9,20211110,100.0,2021-12-30
10,20211111,90.0,2021-12-30
11,20211112,33.33333333333333,2021-12-30
12,20211113,0.0,2021-12-30
13,20211114,0.0,2021-12-30
14,20211115,0.0,2021-12-30
15,20211116,0.0,2021-12-30
16,20211117,0.0,2021-12-30
17,20211118,50.0,2021-12-30
18,20211119,0.0,2021-12-30
19,20211120,100.0,2021-12-30
20,20211121,0.0,2021-12-30
21,20211122,50.0,2021-12-30
22,20211123,75.0,2021-12-30
23,20211124,60.0,2021-12-30
24,20211125,0.0,2021-12-30
25,20211126,100.0,2021-12-30
26,20211127,0.0,2021-12-30
27,20211128,0.0,2021-12-30
28,20211129,0.0,2021-12-30
29,20211130,50.0,2021-12-30
30,20211201,25.0,2021-12-30
31,20211202,17.647058823529413,2021-12-30
32,20211203,27.27272727272727,2021-12-30
33,20211204,0.0,2021-12-30
34,20211205,0.0,2021-12-30
35,20211206,75.0,2021-12-30
36,20211207,0.0,2021-12-30
37,20211208,50.0,2021-12-30
38,20211209,55.55555555555556,2021-12-30
39,20211210,0.0,2021-12-30
40,20211211,0.0,2021-12-30
41,20211212,100.0,2021-12-30
42,20211213,0.0,2021-12-30
43,20211214,0.0,2021-12-30
44,20211215,0.0,2021-12-30
45,20211216,0.0,2021-12-30
46,20211217,0.0,2021-12-30
47,20211218,0.0,2021-12-30
48,20211219,0.0,2021-12-30
49,20211220,0.0,2021-12-30
50,20211221,0.0,2021-12-30
51,20211222,0.0,2021-12-30
52,20211223,0.0,2021-12-30
53,20211224,0.0,2021-12-30
54,20211225,0.0,2021-12-30
55,20211226,0.0,2021-12-30
56,20211227,0.0,2021-12-30
57,20211228,0.0,2021-12-30
58,20211229,0.0,2021-12-30
59,20211230,0.0,2021-12-30
