Metrics,Total Users,week 0,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12
"Oct 31, 2021 - Nov 6, 2021",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Nov 7, 2021 - Nov 13, 2021",3,100.00%,66.67%,100.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
"Nov 14, 2021 - Nov 20, 2021",2,100.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
"Nov 21, 2021 - Nov 27, 2021",2,100.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
"Nov 28, 2021 - Dec 4, 2021",23,100.00%,17.39%,8.70%,0.00%,4.35%,8.70%,0.00%,0.00%,8.70%,,,,
"Dec 5, 2021 - Dec 11, 2021",3,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
"Dec 12, 2021 - Dec 18, 2021",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
"Dec 19, 2021 - Dec 25, 2021",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
"Dec 26, 2021 - Jan 1, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
"Jan 2, 2022 - Jan 8, 2022",0,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
"Jan 9, 2022 - Jan 15, 2022",0,0.00%,0.00%,0.00%,,,,,,,,,,
"Jan 16, 2022 - Jan 22, 2022",0,0.00%,0.00%,,,,,,,,,,,
